Passenger_Name__c,Title__c,Survived__c,Travel_Class__c,Sex__c,Age__c,Age_Group__c,Port_of_Embarkation__c,Fare__c,Fare_Category__c,Deck__c,Cabin__c,Ticket_Number__c,Siblings_Spouses__c,Parents_Children__c,Family_Group__c,Had_Lifeboat__c,Lifeboat__c,Home_Destination__c
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",Mrs,Yes,Second,Female,24,Young Adult,Southampton,27.0000,Standard,Unknown,,243847,2,1,Small Family,Yes,12,London
"Jarvis, Mr. John Denzil",Mr,No,Second,Male,47,Middle Aged,Southampton,15.0000,Standard,Unknown,,237565,0,0,Solo,No,,"North Evington, England"
"Jefferys, Mr. Clifford Thomas",Mr,No,Second,Male,24,Young Adult,Southampton,31.5000,Premium,Unknown,,C.A. 31029,2,0,Small Family,No,,"Guernsey / Elizabeth, NJ"
"Jefferys, Mr. Ernest Wilfred",Mr,No,Second,Male,22,Young Adult,Southampton,31.5000,Premium,Unknown,,C.A. 31029,2,0,Small Family,No,,"Guernsey / Elizabeth, NJ"
"Jenkin, Mr. Stephen Curnow",Mr,No,Second,Male,32,Young Adult,Southampton,10.5000,Standard,Unknown,,C.A. 33111,0,0,Solo,No,,"St Ives, Cornwall / Houghton, MI"
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",Mrs,Yes,Second,Female,23,Young Adult,Cherbourg,13.7917,Standard,D,D,SC/AH Basle 541,0,0,Solo,Yes,11,"New York, NY"
"Kantor, Mr. Sinai",Mr,No,Second,Male,34,Young Adult,Southampton,26.0000,Standard,Unknown,,244367,1,0,Small Family,No,,"Moscow / Bronx, NY"
"Kantor, Mrs. Sinai (Miriam Sternin)",Mrs,Yes,Second,Female,24,Young Adult,Southampton,26.0000,Standard,Unknown,,244367,1,0,Small Family,Yes,12,"Moscow / Bronx, NY"
"Karnes, Mrs. J Frank (Claire Bennett)",Mrs,No,Second,Female,22,Young Adult,Southampton,21.0000,Standard,Unknown,,F.C.C. 13534,0,0,Solo,No,,"India / Pittsburgh, PA"
"Keane, Miss. Nora A",Miss,Yes,Second,Female,,Unknown,Queenstown,12.3500,Standard,E,E101,226593,0,0,Solo,Yes,10,"Harrisburg, PA"
"Keane, Mr. Daniel",Mr,No,Second,Male,35,Young Adult,Queenstown,12.3500,Standard,Unknown,,233734,0,0,Solo,No,,
"Kelly, Mrs. Florence ""Fannie""",Mrs,Yes,Second,Female,45,Middle Aged,Southampton,13.5000,Standard,Unknown,,223596,0,0,Solo,Yes,9,"London / New York, NY"
"Kirkland, Rev. Charles Leonard",Clergy,No,Second,Male,57,Senior,Queenstown,12.3500,Standard,Unknown,,219533,0,0,Solo,No,,"Glasgow / Bangor, ME"
"Knight, Mr. Robert J",Mr,No,Second,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,239855,0,0,Solo,No,,Belfast
"Kvillner, Mr. Johan Henrik Johannesson",Mr,No,Second,Male,31,Young Adult,Southampton,10.5000,Standard,Unknown,,C.A. 18723,0,0,Solo,No,,"Sweden / Arlington, NJ"
"Lahtinen, Mrs. William (Anna Sylfven)",Mrs,No,Second,Female,26,Young Adult,Southampton,26.0000,Standard,Unknown,,250651,1,1,Small Family,No,,"Minneapolis, MN"
"Lahtinen, Rev. William",Clergy,No,Second,Male,30,Young Adult,Southampton,26.0000,Standard,Unknown,,250651,1,1,Small Family,No,,"Minneapolis, MN"
"Lamb, Mr. John Joseph",Mr,No,Second,Male,,Unknown,Queenstown,10.7083,Standard,Unknown,,240261,0,0,Solo,No,,
"Laroche, Miss. Louise",Miss,Yes,Second,Female,1,Child,Cherbourg,41.5792,Premium,Unknown,,SC/Paris 2123,1,2,Small Family,Yes,14,Paris / Haiti
"Laroche, Miss. Simonne Marie Anne Andree",Miss,Yes,Second,Female,3,Child,Cherbourg,41.5792,Premium,Unknown,,SC/Paris 2123,1,2,Small Family,Yes,14,Paris / Haiti
"Laroche, Mr. Joseph Philippe Lemercier",Mr,No,Second,Male,25,Young Adult,Cherbourg,41.5792,Premium,Unknown,,SC/Paris 2123,1,2,Small Family,No,,Paris / Haiti
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",Mrs,Yes,Second,Female,22,Young Adult,Cherbourg,41.5792,Premium,Unknown,,SC/Paris 2123,1,2,Small Family,Yes,14,Paris / Haiti
"Lehmann, Miss. Bertha",Miss,Yes,Second,Female,17,Teen,Cherbourg,12.0000,Standard,Unknown,,SC 1748,0,0,Solo,Yes,12,"Berne, Switzerland / Central City, IA"
"Leitch, Miss. Jessie Wills",Miss,Yes,Second,Female,,Unknown,Southampton,33.0000,Premium,Unknown,,248727,0,0,Solo,Yes,11,"London / Chicago, IL"
"Lemore, Mrs. (Amelia Milley)",Mrs,Yes,Second,Female,34,Young Adult,Southampton,10.5000,Standard,F,F33,C.A. 34260,0,0,Solo,Yes,14,"Chicago, IL"
"Levy, Mr. Rene Jacques",Mr,No,Second,Male,36,Middle Aged,Cherbourg,12.8750,Standard,D,D,SC/Paris 2163,0,0,Solo,No,,"Montreal, PQ"
"Leyson, Mr. Robert William Norman",Mr,No,Second,Male,24,Young Adult,Southampton,10.5000,Standard,Unknown,,C.A. 29566,0,0,Solo,No,,
"Lingane, Mr. John",Mr,No,Second,Male,61,Senior,Queenstown,12.3500,Standard,Unknown,,235509,0,0,Solo,No,,
"Louch, Mr. Charles Alexander",Mr,No,Second,Male,50,Middle Aged,Southampton,26.0000,Standard,Unknown,,SC/AH 3085,1,0,Small Family,No,,"Weston-Super-Mare, Somerset"
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",Mrs,Yes,Second,Female,42,Middle Aged,Southampton,26.0000,Standard,Unknown,,SC/AH 3085,1,0,Small Family,No,,"Weston-Super-Mare, Somerset"
"Mack, Mrs. (Mary)",Mrs,No,Second,Female,57,Senior,Southampton,10.5000,Standard,E,E77,S.O./P.P. 3,0,0,Solo,No,,"Southampton / New York, NY"
"Malachard, Mr. Noel",Mr,No,Second,Male,,Unknown,Cherbourg,15.0458,Standard,D,D,237735,0,0,Solo,No,,Paris
"Mallet, Master. Andre",Master,Yes,Second,Male,1,Child,Cherbourg,37.0042,Premium,Unknown,,S.C./PARIS 2079,0,2,Small Family,Yes,10,"Paris / Montreal, PQ"
"Mallet, Mr. Albert",Mr,No,Second,Male,31,Young Adult,Cherbourg,37.0042,Premium,Unknown,,S.C./PARIS 2079,1,1,Small Family,No,,"Paris / Montreal, PQ"
"Mallet, Mrs. Albert (Antoinette Magnin)",Mrs,Yes,Second,Female,24,Young Adult,Cherbourg,37.0042,Premium,Unknown,,S.C./PARIS 2079,1,1,Small Family,Yes,10,"Paris / Montreal, PQ"
"Mangiavacchi, Mr. Serafino Emilio",Mr,No,Second,Male,,Unknown,Cherbourg,15.5792,Standard,Unknown,,SC/A.3 2861,0,0,Solo,No,,"New York, NY"
"Matthews, Mr. William John",Mr,No,Second,Male,30,Young Adult,Southampton,13.0000,Standard,Unknown,,28228,0,0,Solo,No,,"St Austall, Cornwall"
"Maybery, Mr. Frank Hubert",Mr,No,Second,Male,40,Middle Aged,Southampton,16.0000,Standard,Unknown,,239059,0,0,Solo,No,,"Weston-Super-Mare / Moose Jaw, SK"
"McCrae, Mr. Arthur Gordon",Mr,No,Second,Male,32,Young Adult,Southampton,13.5000,Standard,Unknown,,237216,0,0,Solo,No,,"Sydney, Australia"
"McCrie, Mr. James Matthew",Mr,No,Second,Male,30,Young Adult,Southampton,13.0000,Standard,Unknown,,233478,0,0,Solo,No,,"Sarnia, ON"
"McKane, Mr. Peter David",Mr,No,Second,Male,46,Middle Aged,Southampton,26.0000,Standard,Unknown,,28403,0,0,Solo,No,,"Rochester, NY"
"Mellinger, Miss. Madeleine Violet",Miss,Yes,Second,Female,13,Teen,Southampton,19.5000,Standard,Unknown,,250644,0,1,Small Family,Yes,14,"England / Bennington, VT"
"Mellinger, Mrs. (Elizabeth Anne Maidment)",Mrs,Yes,Second,Female,41,Middle Aged,Southampton,19.5000,Standard,Unknown,,250644,0,1,Small Family,Yes,14,"England / Bennington, VT"
"Mellors, Mr. William John",Mr,Yes,Second,Male,19,Teen,Southampton,10.5000,Standard,Unknown,,SW/PP 751,0,0,Solo,Yes,B,"Chelsea, London"
"Meyer, Mr. August",Mr,No,Second,Male,39,Middle Aged,Southampton,13.0000,Standard,Unknown,,248723,0,0,Solo,No,,"Harrow-on-the-Hill, Middlesex"
"Milling, Mr. Jacob Christian",Mr,No,Second,Male,48,Middle Aged,Southampton,13.0000,Standard,Unknown,,234360,0,0,Solo,No,,"Copenhagen, Denmark"
"Mitchell, Mr. Henry Michael",Mr,No,Second,Male,70,Senior,Southampton,10.5000,Standard,Unknown,,C.A. 24580,0,0,Solo,No,,"Guernsey / Montclair, NJ and/or Toledo, Ohio"
"Montvila, Rev. Juozas",Clergy,No,Second,Male,27,Young Adult,Southampton,13.0000,Standard,Unknown,,211536,0,0,Solo,No,,"Worcester, MA"
"Moraweck, Dr. Ernest",Dr,No,Second,Male,54,Middle Aged,Southampton,14.0000,Standard,Unknown,,29011,0,0,Solo,No,,"Frankfort, KY"
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",Mr,No,Second,Male,39,Middle Aged,Southampton,26.0000,Standard,Unknown,,250655,0,0,Solo,No,,
"Mudd, Mr. Thomas Charles",Mr,No,Second,Male,16,Teen,Southampton,10.5000,Standard,Unknown,,S.O./P.P. 3,0,0,Solo,No,,"Halesworth, England"
"Myles, Mr. Thomas Francis",Mr,No,Second,Male,62,Senior,Queenstown,9.6875,Budget,Unknown,,240276,0,0,Solo,No,,"Cambridge, MA"
"Nasser, Mr. Nicholas",Mr,No,Second,Male,32.5,Young Adult,Cherbourg,30.0708,Premium,Unknown,,237736,1,0,Small Family,No,,"New York, NY"
"Nasser, Mrs. Nicholas (Adele Achem)",Mrs,Yes,Second,Female,14,Teen,Cherbourg,30.0708,Premium,Unknown,,237736,1,0,Small Family,No,,"New York, NY"
"Navratil, Master. Edmond Roger",Master,Yes,Second,Male,2,Child,Southampton,26.0000,Standard,F,F2,230080,1,1,Small Family,Yes,D,"Nice, France"
"Navratil, Master. Michel M",Master,Yes,Second,Male,3,Child,Southampton,26.0000,Standard,F,F2,230080,1,1,Small Family,Yes,D,"Nice, France"
"Navratil, Mr. Michel (""Louis M Hoffman"")",Mr,No,Second,Male,36.5,Middle Aged,Southampton,26.0000,Standard,F,F2,230080,0,2,Small Family,No,,"Nice, France"
"Nesson, Mr. Israel",Mr,No,Second,Male,26,Young Adult,Southampton,13.0000,Standard,F,F2,244368,0,0,Solo,No,,"Boston, MA"
"Nicholls, Mr. Joseph Charles",Mr,No,Second,Male,19,Teen,Southampton,36.7500,Premium,Unknown,,C.A. 33112,1,1,Small Family,No,,"Cornwall / Hancock, MI"
"Norman, Mr. Robert Douglas",Mr,No,Second,Male,28,Young Adult,Southampton,13.5000,Standard,Unknown,,218629,0,0,Solo,No,,Glasgow
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",Mr,Yes,Second,Male,20,Young Adult,Cherbourg,13.8625,Standard,D,D38,SC/PARIS 2166,0,0,Solo,Yes,7,"Cologne, Germany"
"Nye, Mrs. (Elizabeth Ramell)",Mrs,Yes,Second,Female,29,Young Adult,Southampton,10.5000,Standard,F,F33,C.A. 29395,0,0,Solo,Yes,11,"Folkstone, Kent / New York, NY"
"Otter, Mr. Richard",Mr,No,Second,Male,39,Middle Aged,Southampton,13.0000,Standard,Unknown,,28213,0,0,Solo,No,,"Middleburg Heights, OH"
"Oxenham, Mr. Percy Thomas",Mr,Yes,Second,Male,22,Young Adult,Southampton,10.5000,Standard,Unknown,,W./C. 14260,0,0,Solo,Yes,13,"Pondersend, England / New Durham, NJ"
"Padro y Manent, Mr. Julian",Mr,Yes,Second,Male,,Unknown,Cherbourg,13.8625,Standard,Unknown,,SC/PARIS 2146,0,0,Solo,Yes,9,"Spain / Havana, Cuba"
"Pain, Dr. Alfred",Dr,No,Second,Male,23,Young Adult,Southampton,10.5000,Standard,Unknown,,244278,0,0,Solo,No,,"Hamilton, ON"
"Pallas y Castello, Mr. Emilio",Mr,Yes,Second,Male,29,Young Adult,Cherbourg,13.8583,Standard,Unknown,,SC/PARIS 2147,0,0,Solo,Yes,9,"Spain / Havana, Cuba"
"Parker, Mr. Clifford Richard",Mr,No,Second,Male,28,Young Adult,Southampton,10.5000,Standard,Unknown,,SC 14888,0,0,Solo,No,,"St Andrews, Guernsey"
"Parkes, Mr. Francis ""Frank""",Mr,No,Second,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,239853,0,0,Solo,No,,Belfast
"Parrish, Mrs. (Lutie Davis)",Mrs,Yes,Second,Female,50,Middle Aged,Southampton,26.0000,Standard,Unknown,,230433,0,1,Small Family,Yes,12,"Woodford County, KY"
"Pengelly, Mr. Frederick William",Mr,No,Second,Male,19,Teen,Southampton,10.5000,Standard,Unknown,,28665,0,0,Solo,No,,"Gunnislake, England / Butte, MT"
"Pernot, Mr. Rene",Mr,No,Second,Male,,Unknown,Cherbourg,15.0500,Standard,Unknown,,SC/PARIS 2131,0,0,Solo,No,,
"Peruschitz, Rev. Joseph Maria",Clergy,No,Second,Male,41,Middle Aged,Southampton,13.0000,Standard,Unknown,,237393,0,0,Solo,No,,
"Phillips, Miss. Alice Frances Louisa",Miss,Yes,Second,Female,21,Young Adult,Southampton,21.0000,Standard,Unknown,,S.O./P.P. 2,0,1,Small Family,Yes,12,"Ilfracombe, Devon"
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",Miss,Yes,Second,Female,19,Teen,Southampton,26.0000,Standard,Unknown,,250655,0,0,Solo,Yes,11,"Worcester, England"
"Phillips, Mr. Escott Robert",Mr,No,Second,Male,43,Middle Aged,Southampton,21.0000,Standard,Unknown,,S.O./P.P. 2,0,1,Small Family,No,,"Ilfracombe, Devon"
"Pinsky, Mrs. (Rosa)",Mrs,Yes,Second,Female,32,Young Adult,Southampton,13.0000,Standard,Unknown,,234604,0,0,Solo,Yes,9,Russia
"Ponesell, Mr. Martin",Mr,No,Second,Male,34,Young Adult,Southampton,13.0000,Standard,Unknown,,250647,0,0,Solo,No,,"Denmark / New York, NY"
"Portaluppi, Mr. Emilio Ilario Giuseppe",Mr,Yes,Second,Male,30,Young Adult,Cherbourg,12.7375,Standard,Unknown,,C.A. 34644,0,0,Solo,Yes,14,"Milford, NH"
"Pulbaum, Mr. Franz",Mr,No,Second,Male,27,Young Adult,Cherbourg,15.0333,Standard,Unknown,,SC/PARIS 2168,0,0,Solo,No,,Paris
"Quick, Miss. Phyllis May",Miss,Yes,Second,Female,2,Child,Southampton,26.0000,Standard,Unknown,,26360,1,1,Small Family,Yes,11,"Plymouth, Devon / Detroit, MI"
"Quick, Miss. Winifred Vera",Miss,Yes,Second,Female,8,Child,Southampton,26.0000,Standard,Unknown,,26360,1,1,Small Family,Yes,11,"Plymouth, Devon / Detroit, MI"
"Quick, Mrs. Frederick Charles (Jane Richards)",Mrs,Yes,Second,Female,33,Young Adult,Southampton,26.0000,Standard,Unknown,,26360,0,2,Small Family,Yes,11,"Plymouth, Devon / Detroit, MI"
"Reeves, Mr. David",Mr,No,Second,Male,36,Middle Aged,Southampton,10.5000,Standard,Unknown,,C.A. 17248,0,0,Solo,No,,"Brighton, Sussex"
"Renouf, Mr. Peter Henry",Mr,No,Second,Male,34,Young Adult,Southampton,21.0000,Standard,Unknown,,31027,1,0,Small Family,Yes,12,"Elizabeth, NJ"
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",Mrs,Yes,Second,Female,30,Young Adult,Southampton,21.0000,Standard,Unknown,,31027,3,0,Small Family,No,,"Elizabeth, NJ"
"Reynaldo, Ms. Encarnacion",Miss,Yes,Second,Female,28,Young Adult,Southampton,13.0000,Standard,Unknown,,230434,0,0,Solo,Yes,9,Spain
"Richard, Mr. Emile",Mr,No,Second,Male,23,Young Adult,Cherbourg,15.0458,Standard,Unknown,,SC/PARIS 2133,0,0,Solo,No,,"Paris / Montreal, PQ"
"Richards, Master. George Sibley",Master,Yes,Second,Male,0.83,Child,Southampton,18.7500,Standard,Unknown,,29106,1,1,Small Family,Yes,4,"Cornwall / Akron, OH"
"Richards, Master. William Rowe",Master,Yes,Second,Male,3,Child,Southampton,18.7500,Standard,Unknown,,29106,1,1,Small Family,Yes,4,"Cornwall / Akron, OH"
"Richards, Mrs. Sidney (Emily Hocking)",Mrs,Yes,Second,Female,24,Young Adult,Southampton,18.7500,Standard,Unknown,,29106,2,3,Large Family,Yes,4,"Cornwall / Akron, OH"
"Ridsdale, Miss. Lucy",Miss,Yes,Second,Female,50,Middle Aged,Southampton,10.5000,Standard,Unknown,,W./C. 14258,0,0,Solo,Yes,13,"London, England / Marietta, Ohio and Milwaukee, WI"
"Rogers, Mr. Reginald Harry",Mr,No,Second,Male,19,Teen,Southampton,10.5000,Standard,Unknown,,28004,0,0,Solo,No,,
"Rugg, Miss. Emily",Miss,Yes,Second,Female,21,Young Adult,Southampton,10.5000,Standard,Unknown,,C.A. 31026,0,0,Solo,Yes,12,"Guernsey / Wilmington, DE"
"Schmidt, Mr. August",Mr,No,Second,Male,26,Young Adult,Southampton,13.0000,Standard,Unknown,,248659,0,0,Solo,No,,"Newark, NJ"
"Sedgwick, Mr. Charles Frederick Waddington",Mr,No,Second,Male,25,Young Adult,Southampton,13.0000,Standard,Unknown,,244361,0,0,Solo,No,,Liverpool
"Sharp, Mr. Percival James R",Mr,No,Second,Male,27,Young Adult,Southampton,26.0000,Standard,Unknown,,244358,0,0,Solo,No,,"Hornsey, England"
"Shelley, Mrs. William (Imanita Parrish Hall)",Mrs,Yes,Second,Female,25,Young Adult,Southampton,26.0000,Standard,Unknown,,230433,0,1,Small Family,Yes,12,"Deer Lodge, MT"
"Silven, Miss. Lyyli Karoliina",Miss,Yes,Second,Female,18,Teen,Southampton,13.0000,Standard,Unknown,,250652,0,2,Small Family,Yes,16,"Finland / Minneapolis, MN"
"Sincock, Miss. Maude",Miss,Yes,Second,Female,20,Young Adult,Southampton,36.7500,Premium,Unknown,,C.A. 33112,0,0,Solo,Yes,11,"Cornwall / Hancock, MI"
"Sinkkonen, Miss. Anna",Miss,Yes,Second,Female,30,Young Adult,Southampton,13.0000,Standard,Unknown,,250648,0,0,Solo,Yes,10,"Finland / Washington, DC"
"Sjostedt, Mr. Ernst Adolf",Mr,No,Second,Male,59,Senior,Southampton,13.5000,Standard,Unknown,,237442,0,0,Solo,No,,"Sault St Marie, ON"
"Slayter, Miss. Hilda Mary",Miss,Yes,Second,Female,30,Young Adult,Queenstown,12.3500,Standard,Unknown,,234818,0,0,Solo,Yes,13,"Halifax, NS"
"Slemen, Mr. Richard James",Mr,No,Second,Male,35,Young Adult,Southampton,10.5000,Standard,Unknown,,28206,0,0,Solo,No,,Cornwall
"Smith, Miss. Marion Elsie",Miss,Yes,Second,Female,40,Middle Aged,Southampton,13.0000,Standard,Unknown,,31418,0,0,Solo,Yes,9,
"Sobey, Mr. Samuel James Hayden",Mr,No,Second,Male,25,Young Adult,Southampton,13.0000,Standard,Unknown,,C.A. 29178,0,0,Solo,No,,"Cornwall / Houghton, MI"
"Stanton, Mr. Samuel Ward",Mr,No,Second,Male,41,Middle Aged,Cherbourg,15.0458,Standard,Unknown,,237734,0,0,Solo,No,,"New York, NY"
"Stokes, Mr. Philip Joseph",Mr,No,Second,Male,25,Young Adult,Southampton,10.5000,Standard,Unknown,,F.C.C. 13540,0,0,Solo,No,,"Catford, Kent / Detroit, MI"
"Swane, Mr. George",Mr,No,Second,Male,18.5,Teen,Southampton,13.0000,Standard,F,F,248734,0,0,Solo,No,,
"Sweet, Mr. George Frederick",Mr,No,Second,Male,14,Teen,Southampton,65.0000,Premium,Unknown,,220845,0,0,Solo,No,,"Somerset / Bernardsville, NJ"
"Toomey, Miss. Ellen",Miss,Yes,Second,Female,50,Middle Aged,Southampton,10.5000,Standard,Unknown,,F.C.C. 13531,0,0,Solo,Yes,9,"Indianapolis, IN"
"Troupiansky, Mr. Moses Aaron",Mr,No,Second,Male,23,Young Adult,Southampton,13.0000,Standard,Unknown,,233639,0,0,Solo,No,,
"Trout, Mrs. William H (Jessie L)",Mrs,Yes,Second,Female,28,Young Adult,Southampton,12.6500,Standard,Unknown,,240929,0,0,Solo,No,,"Columbus, OH"
"Troutt, Miss. Edwina Celia ""Winnie""",Miss,Yes,Second,Female,27,Young Adult,Southampton,10.5000,Standard,E,E101,34218,0,0,Solo,Yes,16,"Bath, England / Massachusetts"
"Turpin, Mr. William John Robert",Mr,No,Second,Male,29,Young Adult,Southampton,21.0000,Standard,Unknown,,11668,1,0,Small Family,No,,"Plymouth, England"
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Mrs,No,Second,Female,27,Young Adult,Southampton,21.0000,Standard,Unknown,,11668,1,0,Small Family,No,,"Plymouth, England"
"Veal, Mr. James",Mr,No,Second,Male,40,Middle Aged,Southampton,13.0000,Standard,Unknown,,28221,0,0,Solo,No,,"Barre, Co Washington, VT"
"Walcroft, Miss. Nellie",Miss,Yes,Second,Female,31,Young Adult,Southampton,21.0000,Standard,Unknown,,F.C.C. 13528,0,0,Solo,Yes,14,"Mamaroneck, NY"
"Ware, Mr. John James",Mr,No,Second,Male,30,Young Adult,Southampton,21.0000,Standard,Unknown,,CA 31352,1,0,Small Family,No,,"Bristol, England / New Britain, CT"
"Ware, Mr. William Jeffery",Mr,No,Second,Male,23,Young Adult,Southampton,10.5000,Standard,Unknown,,28666,1,0,Small Family,No,,
"Ware, Mrs. John James (Florence Louise Long)",Mrs,Yes,Second,Female,31,Young Adult,Southampton,21.0000,Standard,Unknown,,CA 31352,0,0,Solo,Yes,10,"Bristol, England / New Britain, CT"
"Watson, Mr. Ennis Hastings",Mr,No,Second,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,239856,0,0,Solo,No,,Belfast
"Watt, Miss. Bertha J",Miss,Yes,Second,Female,12,Child,Southampton,15.7500,Standard,Unknown,,C.A. 33595,0,0,Solo,Yes,9,"Aberdeen / Portland, OR"
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Mrs,Yes,Second,Female,40,Middle Aged,Southampton,15.7500,Standard,Unknown,,C.A. 33595,0,0,Solo,Yes,9,"Aberdeen / Portland, OR"
"Webber, Miss. Susan",Miss,Yes,Second,Female,32.5,Young Adult,Southampton,13.0000,Standard,E,E101,27267,0,0,Solo,Yes,12,"England / Hartford, CT"
"Weisz, Mr. Leopold",Mr,No,Second,Male,27,Young Adult,Southampton,26.0000,Standard,Unknown,,228414,1,0,Small Family,No,,"Bromsgrove, England / Montreal, PQ"
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Mrs,Yes,Second,Female,29,Young Adult,Southampton,26.0000,Standard,Unknown,,228414,1,0,Small Family,Yes,10,"Bromsgrove, England / Montreal, PQ"
"Wells, Master. Ralph Lester",Master,Yes,Second,Male,2,Child,Southampton,23.0000,Standard,Unknown,,29103,1,1,Small Family,Yes,14,"Cornwall / Akron, OH"
"Wells, Miss. Joan",Miss,Yes,Second,Female,4,Child,Southampton,23.0000,Standard,Unknown,,29103,1,1,Small Family,Yes,14,"Cornwall / Akron, OH"
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",Mrs,Yes,Second,Female,29,Young Adult,Southampton,23.0000,Standard,Unknown,,29103,0,2,Small Family,Yes,14,"Cornwall / Akron, OH"
"West, Miss. Barbara J",Miss,Yes,Second,Female,0.92,Child,Southampton,27.7500,Standard,Unknown,,C.A. 34651,1,2,Small Family,Yes,10,"Bournmouth, England"
"West, Miss. Constance Mirium",Miss,Yes,Second,Female,5,Child,Southampton,27.7500,Standard,Unknown,,C.A. 34651,1,2,Small Family,Yes,10,"Bournmouth, England"
"West, Mr. Edwy Arthur",Mr,No,Second,Male,36,Middle Aged,Southampton,27.7500,Standard,Unknown,,C.A. 34651,1,2,Small Family,No,,"Bournmouth, England"
"West, Mrs. Edwy Arthur (Ada Mary Worth)",Mrs,Yes,Second,Female,33,Young Adult,Southampton,27.7500,Standard,Unknown,,C.A. 34651,1,2,Small Family,Yes,10,"Bournmouth, England"
"Wheadon, Mr. Edward H",Mr,No,Second,Male,66,Senior,Southampton,10.5000,Standard,Unknown,,C.A. 24579,0,0,Solo,No,,"Guernsey, England / Edgewood, RI"
"Wheeler, Mr. Edwin ""Frederick""",Mr,No,Second,Male,,Unknown,Southampton,12.8750,Standard,Unknown,,SC/PARIS 2159,0,0,Solo,No,,
"Wilhelms, Mr. Charles",Mr,Yes,Second,Male,31,Young Adult,Southampton,13.0000,Standard,Unknown,,244270,0,0,Solo,Yes,9,"London, England"
"Williams, Mr. Charles Eugene",Mr,Yes,Second,Male,,Unknown,Southampton,13.0000,Standard,Unknown,,244373,0,0,Solo,Yes,14,"Harrow, England"
"Wright, Miss. Marion",Miss,Yes,Second,Female,26,Young Adult,Southampton,13.5000,Standard,Unknown,,220844,0,0,Solo,Yes,9,"Yoevil, England / Cottage Grove, OR"
"Yrois, Miss. Henriette (""Mrs Harbeck"")",Miss,No,Second,Female,24,Young Adult,Southampton,13.0000,Standard,Unknown,,248747,0,0,Solo,No,,Paris
"Abbing, Mr. Anthony",Mr,No,Third,Male,42,Middle Aged,Southampton,7.5500,Budget,Unknown,,C.A. 5547,0,0,Solo,No,,
"Abbott, Master. Eugene Joseph",Master,No,Third,Male,13,Teen,Southampton,20.2500,Standard,Unknown,,C.A. 2673,0,2,Small Family,No,,"East Providence, RI"
"Abbott, Mr. Rossmore Edward",Mr,No,Third,Male,16,Teen,Southampton,20.2500,Standard,Unknown,,C.A. 2673,1,1,Small Family,No,,"East Providence, RI"
"Abbott, Mrs. Stanton (Rosa Hunt)",Mrs,Yes,Third,Female,35,Young Adult,Southampton,20.2500,Standard,Unknown,,C.A. 2673,1,1,Small Family,Yes,A,"East Providence, RI"
"Abelseth, Miss. Karen Marie",Miss,Yes,Third,Female,16,Teen,Southampton,7.6500,Budget,Unknown,,348125,0,0,Solo,Yes,16,"Norway Los Angeles, CA"
"Abelseth, Mr. Olaus Jorgensen",Mr,Yes,Third,Male,25,Young Adult,Southampton,7.6500,Budget,F,F G63,348122,0,0,Solo,Yes,A,"Perkins County, SD"
"Abrahamsson, Mr. Abraham August Johannes",Mr,Yes,Third,Male,20,Young Adult,Southampton,7.9250,Budget,Unknown,,SOTON/O2 3101284,0,0,Solo,Yes,15,"Taalintehdas, Finland Hoboken, NJ"
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",Mrs,Yes,Third,Female,18,Teen,Cherbourg,7.2292,Budget,Unknown,,2657,0,0,Solo,Yes,C,"Greensburg, PA"
"Adahl, Mr. Mauritz Nils Martin",Mr,No,Third,Male,30,Young Adult,Southampton,7.2500,Budget,Unknown,,C 7076,0,0,Solo,No,,"Asarum, Sweden Brooklyn, NY"
"Adams, Mr. John",Mr,No,Third,Male,26,Young Adult,Southampton,8.0500,Budget,Unknown,,341826,0,0,Solo,No,,"Bournemouth, England"
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Mrs,No,Third,Female,40,Middle Aged,Southampton,9.4750,Budget,Unknown,,7546,1,0,Small Family,No,,"Sweden Akeley, MN"
"Aks, Master. Philip Frank",Master,Yes,Third,Male,0.83,Child,Southampton,9.3500,Budget,Unknown,,392091,0,1,Small Family,Yes,11,"London, England Norfolk, VA"
"Aks, Mrs. Sam (Leah Rosen)",Mrs,Yes,Third,Female,18,Teen,Southampton,9.3500,Budget,Unknown,,392091,0,1,Small Family,Yes,13,"London, England Norfolk, VA"
